,CH4_umol_m2_d,1,2,Marker lineage,Completeness,Contamination,Strain heterogeneity,K02041,K02042,K02044,K06162,K06163,K06164,K06165,K06166,K05780
R1_B_D1_metabat.32,0.779752328544,77.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; ,f__Rhodobacteraceae (UID3361),96.08,3.65,10.0,4.0,7.0,4.0,6.0,2.0,2.0,2.0,2.0,3.0
R1_B_D2_concoct.51,0.72804989546,88.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; ,f__Rhodobacteraceae (UID3361),76.06,5.89,51.35,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
R1_B_D2_metabat.28,0.727004097301,88.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; ,f__Rhodobacteraceae (UID3361),99.05,0.74,0.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0
R1_C_D1_metabat.31,0.351489670846,89.0,cellular organisms; Archaea; Euryarchaeota; Halobacteria; Natrialbales; Natrialbaceae; Haloterrigena; ,f__Halobacteriaceae (UID96),82.03,4.16,36.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
R1_C_H2O_concoct.79,0.781461955305,81.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; ,f__Rhodobacteraceae (UID3361),79.51,7.81,11.32,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
R2_A_D1_concoct.35,0.377317989225,93.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; ,o__Rhizobiales (UID3654),93.55,1.45,16.67,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2_A_D1_concoct.49,0.765313563344,88.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; ,f__Rhodobacteraceae (UID3361),91.99,8.62,47.37,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
R2_A_D2_metabat.16,0.200239656575,70.0,cellular organisms; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Haloquadratum; ,f__Halobacteriaceae (UID96),83.54,3.72,52.94,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0
R2_B_D2_concoct.143,0.520266234,70.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; ,k__Bacteria (UID203),90.86,9.4,70.0,4.0,6.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0
R2_B_D2_metabat.10,0.647683099757,85.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; ,f__Rhodobacteraceae (UID3361),96.29,3.17,21.43,3.0,6.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0
R2_B_D2_metabat.16,0.782352071354,76.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; ,f__Rhodobacteraceae (UID3361),86.56,5.2,52.17,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
R2_B_D2_metabat.19,0.549152746515,87.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; ,f__Rhodobacteraceae (UID3356),98.64,1.97,8.33,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
R2_B_D2_metabat.38,0.776295863782,85.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; ,f__Rhodobacteraceae (UID3361),99.05,3.13,45.45,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
R2_B_D2_metabat.55,0.792269590536,91.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; ,f__Rhodobacteraceae (UID3361),98.87,4.01,19.05,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
R2_C_D1_concoct.88,0.399615220336,,,p__Bacteroidetes (UID2591),79.49,5.3,0.0,1.0,,,,1.0,,,,
R2_C_D1_concoct.95,0.366951050044,65.0,cellular organisms; Bacteria; Proteobacteria; delta/epsilon subdivisions; Deltaproteobacteria; Desulfobacterales; Desulfobacteraceae; ,c__Deltaproteobacteria (UID3216),97.72,4.84,12.5,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0
R2_C_D1_metabat.17,0.817084620321,75.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; ,f__Rhodobacteraceae (UID3361),98.24,8.64,26.53,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
R2_C_D2_concoct.18,0.270938418901,81.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; ,f__Rhodobacteraceae (UID3356),99.7,1.04,33.33,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
R2_C_D2_concoct.45,0.816674365909,74.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; ,f__Rhodobacteraceae (UID3361),81.45,19.88,49.24,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0
R2_C_D2_concoct.47,0.419668499993,81.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; ,f__Rhodobacteraceae (UID3361),82.78,21.44,68.06,4.0,6.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0
R2_r_C_black_concoct.17,0.429716347778,69.0,cellular organisms; Bacteria; Proteobacteria; delta/epsilon subdivisions; Deltaproteobacteria; Desulfobacterales; Desulfobacteraceae; ,c__Deltaproteobacteria (UID3216),95.3,1.94,33.33,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2_r_C_black_metabat.8,0.496080433984,67.0,cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; ,c__Alphaproteobacteria (UID3337),99.0,2.4,14.29,2.0,1.0,,2.0,1.0,2.0,,1.0,2.0
R1_A_D2_concoct.21,0.521838862978,76.0,cellular organisms; Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; ,p__Euryarchaeota (UID49),98.37,3.27,0.0,,,1.0,,,,,,
